产地,烘焙程度,处理方法,主要分子SMILES,分子名称,典型含量%,生成机理,风味贡献
埃塞俄比亚,浅烘,水洗,CC(=O)OCC,乙酸乙酯,0.5,发酵过程,果香、甜香
埃塞俄比亚,浅烘,水洗,CC(C)=CCCC(C)=CCO,香叶醇,0.3,天然存在,花香、玫瑰香
埃塞俄比亚,浅烘,水洗,CC=CC=O,巴豆醛,0.2,脂质氧化,果香、青草香
埃塞俄比亚,浅烘,日晒,CC(=O)OC(C)C,乙酸异丙酯,0.8,发酵过程,果香、甜香
埃塞俄比亚,浅烘,日晒,CCOC(=O)C,乙酸乙酯,0.6,发酵过程,菠萝香、果香
埃塞俄比亚,中烘,水洗,O=CC1=CC=C(O)C=C1,4-羟基苯甲醛,0.4,美拉德反应,香草香、甜香
埃塞俄比亚,中烘,水洗,CC1=CC=C(C=C1)O,4-甲基苯酚,0.3,美拉德反应,烟熏、香料
哥伦比亚,浅烘,水洗,CC(C)CC(=O)O,异戊酸,0.4,发酵过程,奶酪香、果香
哥伦比亚,浅烘,水洗,CC=CCC=O,2-戊烯醛,0.3,脂质氧化,青草香、果香
哥伦比亚,中烘,水洗,O=C1C=CC(=O)C=C1,对苯醌,0.8,美拉德反应,烘焙香、坚果香
哥伦比亚,中烘,水洗,CC(=O)C1=CC=CC=C1,苯乙酮,0.6,焦糖化反应,花香、甜香
哥伦比亚,中烘,日晒,CC1=CC=CC=C1,甲苯,0.5,美拉德反应,甜香、香料
哥伦比亚,深烘,水洗,O=C(O)C1=CC=CC=C1,苯甲酸,1.0,热解反应,香脂、香料
巴西,中烘,日晒,CC1=CC=C(C)C=C1,对二甲苯,0.7,美拉德反应,甜香、烘焙香
巴西,中烘,日晒,O=CC=CC1=CC=CC=C1,肉桂醛,0.5,美拉德反应,肉桂、香料
巴西,深烘,日晒,CC1=CC=C(C=C1)O,4-甲基苯酚,1.2,热解反应,烟熏、皮革
巴西,深烘,日晒,O=C1C=CC=CC1=O,邻苯二醌,1.0,热解反应,烘焙、焦糖
巴西,深烘,半水洗,CC(=O)C1=CC=C(O)C=C1,4-羟基苯乙酮,0.9,热解反应,香草、烘焙
肯尼亚,浅烘,水洗,CC(=O)CC(C)O,3-羟基-2-丁酮,0.6,发酵过程,奶油、黄油香
肯尼亚,浅烘,水洗,CCCCOC(=O)C,乙酸丁酯,0.4,发酵过程,果香、香蕉
肯尼亚,中烘,水洗,CC1=CC(=O)CC(C)C1,薄荷酮,0.5,美拉德反应,薄荷、清凉
肯尼亚,中烘,双重发酵,CC(C)=CCCC(C)=CC=O,香茅醛,0.7,发酵强化,柠檬、柑橘
危地马拉,中烘,水洗,O=CC1=CC=C(OC)C=C1,茴香醛,0.6,美拉德反应,茴香、甜香
危地马拉,中烘,蜜处理,CC(=O)OC1=CC=CC=C1,乙酸苯酯,0.8,糖分转化,蜂蜜、花香
危地马拉,深烘,水洗,CC1=CC=CC(C)=C1,间二甲苯,0.9,热解反应,木质、香料
印尼,中烘,湿刨法,CC(C)CCCC(C)CC=O,香茅醛,0.7,特殊处理,草本、泥土
印尼,深烘,湿刨法,CC1=CC=C(C=C1)C(C)=O,4-甲基苯乙酮,1.1,热解反应,烟熏、草本
牙买加蓝山,浅烘,水洗,CC(=O)OC(C)(C)C,乙酸叔丁酯,0.4,发酵过程,果香、清新
牙买加蓝山,中烘,水洗,O=C(C)CC1=CC=CC=C1,苯丙酮,0.6,美拉德反应,花香、蜂蜜
夏威夷科纳,中烘,水洗,CC(C)(C)C1=CC=C(O)C=C1,4-叔丁基酚,0.5,美拉德反应,香草、木质
夏威夷科纳,中烘,蜜处理,O=CC1=CC=C(OCC)C=C1,4-乙氧基苯甲醛,0.7,糖分转化,香草、奶油
哥斯达黎加,浅烘,蜜处理,CC(=O)OCC(C)C,乙酸异丁酯,0.6,发酵过程,果香、香蕉
哥斯达黎加,中烘,蜜处理,O=C(OCC)C1=CC=CC=C1,苯甲酸乙酯,0.8,糖分转化,花香、果香
巴拿马,浅烘,日晒,CC(C)=CCC=C(C)C=O,橙花醛,0.5,天然存在,橙花、柑橘
巴拿马,中烘,水洗,O=CC=CC=CC=O,戊二醛,0.4,脂质氧化,青草、清新
秘鲁,中烘,水洗,CC1=CC(C)=CC=C1,1,3-二甲苯,0.6,美拉德反应,烘焙、坚果
秘鲁,深烘,日晒,O=C(C)C1=CC=C(C)C=C1,4-甲基苯乙酮,1.0,热解反应,烟熏、焦糖
越南,深烘,湿处理,CC1=CC=C(C=C1)C=O,4-甲基苯甲醛,0.9,热解反应,杏仁、烘焙
越南,深烘,干处理,O=C1C=C(C)C=CC1=O,甲基苯醌,1.1,热解反应,烟熏、焦糖
印度,中烘,季风处理,CC(C)CC1=CC=CC=C1,异丁基苯,0.8,特殊处理,木质、香料
印度,深烘,季风处理,CC1=CC=C(C=C1)CC=O,4-甲基苯乙醛,1.0,特殊处理,烟熏、皮革
